training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/rep/critic_loss,training/rep/q_max,training/rep/q_mean,training/rep/q_min,training/rep/v_max,training/rep/v_mean,training/rep/v_min,training/rep/value_loss,training/value/avg_grad_est,training/value/avg_speed,training/value/boundary_loss,training/value/fk_loss,training/value/resistance,training/value/v_mean,training/value/value_loss,time/epoch_time,time/total_time,step
18.060714721679688,0.05364527925848961,-7.57146692276001,0.05498966574668884,1.0,0.6010326147079468,-0.3427410125732422,21.73198127746582,0.7969833612442017,0.0,-2.134256362915039,-4.743257522583008,-0.3162693977355957,-1.5757505893707275,-3.7810683250427246,0.01384107768535614,0.46297749876976013,1.0,0.027396613731980324,0.027396613731980324,0.4806901216506958,-2.2715766429901123,0.1727481186389923,0.055358847379684446,55.3588593006134,1000
22.700267791748047,0.060689035803079605,-7.562238693237305,0.052682600915431976,1.0,3.1736440658569336,-2.9099347591400146,103.68981170654297,0.827910304069519,0.0,-4.223189353942871,-9.02498722076416,0.19702386856079102,-3.668208122253418,-7.989266395568848,0.04645080119371414,0.5810673832893372,1.0,0.08324775844812393,0.08324775844812393,0.612806499004364,-2.817953586578369,0.1352654993534088,0.023898437738418578,79.25731420516968,2000
30.74283218383789,0.095441535115242,-7.537763595581055,0.04656389355659485,1.0,1.3356900215148926,-1.4384078979492188,64.40941619873047,0.7119435667991638,0.0,-6.376445770263672,-13.603793144226074,0.25262629985809326,-5.821977138519287,-12.733842849731445,0.1220739334821701,0.6856808662414551,1.0,0.13757304847240448,0.13757304847240448,0.5367075800895691,-3.5793616771698,0.2625111937522888,0.023951898097991944,103.2092227935791,3000
42.056854248046875,0.09481640160083771,-7.558714866638184,0.051801688969135284,1.0,2.7075417041778564,-2.9312145709991455,74.09564971923828,0.8117666840553284,0.0,-8.775738716125488,-17.846338272094727,0.5876577496528625,-8.28835391998291,-17.016502380371094,0.13813620805740356,0.7298976182937622,1.0,0.2072700560092926,0.2072700560092926,0.6341820955276489,-4.118466377258301,0.2274317443370819,0.023961418867111207,127.17065024375916,4000
40.447784423828125,0.09865826368331909,-7.5541582107543945,0.050662484019994736,1.0,4.949735164642334,-4.718560695648193,134.37319946289062,0.9048455953598022,0.1668146848678589,-10.333996772766113,-22.309940338134766,1.4340627193450928,-9.829532623291016,-21.227890014648438,0.15002797544002533,0.791110634803772,1.0,0.27698642015457153,0.27698642015457153,0.7014807462692261,-4.562286376953125,0.2094108760356903,0.023963505029678346,151.13416409492493,5000
38.08086013793945,0.09067510068416595,-7.5748677253723145,0.05583982914686203,1.0,19.658916473388672,-18.622819900512695,305.9607849121094,1.7427666187286377,1.2631044387817383,-12.015151977539062,-26.638879776000977,2.492844820022583,-11.535289764404297,-26.263139724731445,0.1515207439661026,0.753598153591156,1.0,0.2865321636199951,0.2865321636199951,0.7183693647384644,-4.958991050720215,0.20908808708190918,0.028301862716674803,179.43603587150574,6000
43.084259033203125,0.11650808155536652,-7.5180792808532715,0.041642703115940094,1.0,10.800305366516113,-10.213912963867188,244.49708557128906,2.6464736461639404,3.3602042198181152,-13.092427253723145,-31.521713256835938,3.209195137023926,-12.663615226745605,-30.43488311767578,0.3661569058895111,0.7410395741462708,1.0,0.2710360586643219,0.2710360586643219,0.8936611413955688,-4.720244884490967,0.4488804340362549,0.02396220374107361,203.39824771881104,7000
45.797210693359375,0.1256311535835266,-7.586262226104736,0.058688580989837646,1.0,22.211807250976562,-22.232566833496094,311.0165710449219,1.1413547992706299,4.294661998748779,-14.942142486572266,-34.99072265625,5.279458999633789,-14.478745460510254,-34.33406448364258,0.6217970848083496,0.7654950022697449,1.0,0.29752567410469055,0.29752567410469055,0.7685945630073547,-5.408754348754883,0.44697898626327515,0.023962484836578368,227.36074113845825,8000
44.86177444458008,0.09472325444221497,-7.507297515869141,0.03894733637571335,1.0,15.668159484863281,-16.72646713256836,264.6037292480469,1.3442655801773071,6.113021373748779,-14.517151832580566,-39.494712829589844,7.847663402557373,-14.121691703796387,-38.88356018066406,0.3099483251571655,0.7636554837226868,1.0,0.29282718896865845,0.29282718896865845,0.8132283687591553,-4.757216453552246,0.25790882110595703,0.02396297001838684,251.32371973991394,9000
45.783172607421875,0.08647654205560684,-7.500802993774414,0.03732370585203171,1.0,22.891939163208008,-20.179651260375977,434.79339599609375,2.7926573753356934,6.76610803604126,-16.050949096679688,-43.38274383544922,9.22685432434082,-15.649620056152344,-42.811058044433594,0.5250275135040283,0.7770413756370544,1.0,0.3296540379524231,0.3296540379524231,0.7700523138046265,-5.014767646789551,0.2298784852027893,0.023965155124664305,275.28888416290283,10000
