training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/rep/critic_loss,training/rep/q_max,training/rep/q_mean,training/rep/q_min,training/rep/v_max,training/rep/v_mean,training/rep/v_min,training/rep/value_loss,training/value/resistance,training/value/v_mean,training/value/value_loss,time/epoch_time,time/total_time,step
23.80951690673828,0.061738405376672745,-7.605762481689453,0.0635637640953064,1.0,1.8944358825683594,-1.753509521484375,41.81761169433594,0.7975804209709167,0.0,-2.1354894638061523,-4.717216491699219,-0.3224177658557892,-1.5778264999389648,-3.754768133163452,0.014196673408150673,0.7648302912712097,-2.361884593963623,0.157156303524971,0.4203497250080109,420.3527994155884,1000
68.5474853515625,0.09699102491140366,-7.601067066192627,0.062389884144067764,1.0,1.9668667316436768,-1.9249720573425293,87.89119720458984,0.7806047797203064,0.0,-4.247460842132568,-9.001919746398926,0.13721737265586853,-3.7041444778442383,-7.930610656738281,0.0441974475979805,0.9828920364379883,-3.9032349586486816,0.13223415613174438,0.4203356120586395,840.688446521759,2000
123.91504669189453,0.15641573071479797,-7.567681789398193,0.05404338985681534,1.0,1.820219874382019,-2.8988640308380127,102.11497497558594,0.7578362226486206,0.0,-6.350137710571289,-13.570694923400879,0.30673718452453613,-5.791665554046631,-12.715020179748535,0.12976424396038055,0.6447675228118896,-5.4058332443237305,0.16321098804473877,0.4199573452472687,1260.645815372467,3000
125.25323486328125,0.17498356103897095,-7.594542980194092,0.06075868755578995,1.0,3.203094005584717,-6.781973361968994,188.8955841064453,0.8328443169593811,0.0,-8.787160873413086,-17.90359115600586,0.5657198429107666,-8.305747985839844,-17.074356079101562,0.14277604222297668,1.6568572521209717,-6.368919849395752,1.719583511352539,0.42114036989212034,1681.7862272262573,4000
192.80162048339844,0.21160726249217987,-7.531078338623047,0.044892530888319016,1.0,4.504556655883789,-5.009326934814453,160.80404663085938,0.7888199090957642,0.2574310004711151,-10.355525016784668,-22.355100631713867,1.3069844245910645,-9.853729248046875,-21.365467071533203,0.14110425114631653,1.6108568906784058,-8.580551147460938,0.22273489832878113,0.42081081771850587,2102.597074508667,5000
217.02581787109375,0.23854006826877594,-7.50417423248291,0.038166582584381104,1.0,12.059085845947266,-11.738557815551758,272.1884460449219,1.4740866422653198,1.4450005292892456,-12.05861759185791,-26.846433639526367,2.2179782390594482,-11.583913803100586,-26.46959686279297,0.15397600829601288,1.7923425436019897,-9.543403625488281,0.1918320655822754,0.42487944173812864,2527.4798018932343,6000
236.46853637695312,0.3035411834716797,-7.521595001220703,0.04252184182405472,1.0,6.52091646194458,-6.295890808105469,246.6168212890625,2.5521585941314697,3.4239628314971924,-13.1255464553833,-31.99457359313965,3.091129779815674,-12.706548690795898,-31.02932357788086,0.36242735385894775,2.2408597469329834,-10.819374084472656,0.30601099133491516,0.42300427675247193,2950.484108686447,7000
260.1367492675781,0.345568984746933,-7.508481502532959,0.039243269711732864,1.0,4.667018413543701,-4.088644981384277,209.6555633544922,1.1409809589385986,4.116695404052734,-14.990842819213867,-34.22356033325195,5.5717363357543945,-14.517528533935547,-33.55914306640625,0.5683751702308655,2.933349370956421,-12.889693260192871,0.4284856915473938,0.4211813657283783,3371.6655123233795,8000
268.3362121582031,0.3465750813484192,-7.543397903442383,0.04797272011637688,1.0,8.617878913879395,-10.328126907348633,328.80950927734375,1.4573818445205688,5.946651935577393,-14.460454940795898,-38.782344818115234,7.847121238708496,-14.046177864074707,-38.16399383544922,0.40077948570251465,2.708109140396118,-12.849702835083008,0.11700883507728577,0.4230053858757019,3794.6709349155426,9000
287.17572021484375,0.3649367392063141,-7.531271457672119,0.044941194355487823,1.0,5.142720699310303,-5.979560852050781,349.940185546875,2.115299940109253,6.596795558929443,-15.976859092712402,-42.468711853027344,8.702831268310547,-15.520716667175293,-41.73411560058594,0.4703958034515381,3.1512227058410645,-14.148052215576172,0.21114376187324524,0.4206763265132904,4215.347288608551,10000
