training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/rep/critic_loss,training/rep/q_max,training/rep/q_mean,training/rep/q_min,training/rep/v_max,training/rep/v_mean,training/rep/v_min,training/rep/value_loss,training/value/resistance,training/value/v_mean,training/value/value_loss,time/epoch_time,time/total_time,step
17.414016723632812,0.03700957074761391,-7.5187788009643555,0.041817665100097656,1.0,1.194897174835205,-1.2080250978469849,49.818260192871094,0.8608814477920532,0.0,-2.2420403957366943,-4.175047397613525,-0.34557443857192993,-1.6753032207489014,-3.1884379386901855,0.02753300592303276,0.9324393272399902,-2.3201982975006104,0.5773425102233887,0.41222834610939024,412.2283799648285,1000
95.57769775390625,0.10036012530326843,-7.562262058258057,0.05268852040171623,1.0,2.5774166584014893,-2.7455708980560303,118.8546142578125,0.8336777687072754,0.0,-4.473426342010498,-8.721436500549316,0.2608795762062073,-3.9043776988983154,-7.800432205200195,0.05715338885784149,1.9954637289047241,-5.917776107788086,0.34441298246383667,0.4129747323989868,825.2031416893005,2000
102.33814239501953,0.12592609226703644,-7.53560209274292,0.04602324590086937,1.0,5.430376052856445,-5.504813194274902,228.01597595214844,1.033599615097046,0.0,-6.7563958168029785,-13.209197044372559,0.1526307761669159,-6.231696128845215,-12.333806037902832,0.07582277059555054,4.453031063079834,-4.9209184646606445,0.8505625128746033,0.41413673615455626,1239.339907169342,3000
102.54854583740234,0.13332059979438782,-7.521914482116699,0.04260164499282837,1.0,3.9885499477386475,-4.087477684020996,243.8524169921875,1.0783990621566772,0.0,-9.099797248840332,-17.33938980102539,0.5753251910209656,-8.59320068359375,-16.64919090270996,0.14552418887615204,4.0318756103515625,-7.659945011138916,0.2612052261829376,0.41752303314208983,1656.8629715442657,4000
111.75362396240234,0.15322646498680115,-7.5658769607543945,0.05359239503741264,1.0,4.139958381652832,-4.15965461730957,123.20137786865234,0.5588895082473755,0.0,-10.506060600280762,-21.294858932495117,0.6563669443130493,-9.981128692626953,-20.501609802246094,0.06895937770605087,4.133772850036621,-7.243176460266113,0.18828073143959045,0.4162830674648285,2073.1460695266724,5000
159.9207763671875,0.18678340315818787,-7.597381114959717,0.06146834045648575,1.0,8.124927520751953,-4.522178649902344,205.3588104248047,0.9321203827857971,0.0,-13.174443244934082,-25.370283126831055,1.0694200992584229,-12.758724212646484,-24.61665916442871,0.09104084968566895,3.2168021202087402,-8.683117866516113,0.09734687954187393,0.42016787004470824,2493.31396317482,6000
181.11972045898438,0.19039422273635864,-7.486126899719238,0.033654507249593735,1.0,4.294280529022217,-5.031625747680664,173.31251525878906,0.8085083961486816,1.974395513534546,-13.656271934509277,-28.455293655395508,2.1770308017730713,-13.276670455932617,-27.85662078857422,0.10203543305397034,3.1178834438323975,-9.21579647064209,0.10042862594127655,0.41858662247657774,2911.900607585907,7000
192.23936462402344,0.20639082789421082,-7.490077495574951,0.034642089158296585,1.0,7.938283920288086,-8.601466178894043,339.04547119140625,1.8031195402145386,2.560936450958252,-15.323799133300781,-33.771968841552734,3.0362865924835205,-14.920733451843262,-33.149131774902344,0.20096363127231598,2.9906563758850098,-10.275063514709473,0.9870071411132812,0.4164962241649628,3328.3968579769135,8000
217.82489013671875,0.24207955598831177,-7.613377571105957,0.06546706706285477,1.0,7.16354513168335,-8.199044227600098,360.753662109375,1.3079725503921509,2.6844096183776855,-16.92391014099121,-36.30037307739258,4.2250823974609375,-16.466094970703125,-35.857234954833984,0.22920814156532288,3.56186580657959,-10.982421875,0.6212761402130127,0.41859123182296754,3746.988116979599,9000
224.2443389892578,0.25189507007598877,-7.493843078613281,0.035583604127168655,1.0,14.34614086151123,-16.437658309936523,527.3411254882812,2.1468451023101807,3.741159200668335,-17.43094825744629,-40.404449462890625,5.606086730957031,-16.968441009521484,-41.58660125732422,0.35090920329093933,3.424224376678467,-11.600202560424805,0.15899768471717834,0.41964925718307494,4166.637403488159,10000
229.927978515625,0.2632173001766205,-7.4833455085754395,0.032959260046482086,1.0,16.311019897460938,-16.90645980834961,657.7703857421875,2.57767915725708,3.7924065589904785,-18.10042381286621,-44.883705139160156,5.165128707885742,-17.76729393005371,-45.04642868041992,0.31159910559654236,4.1599016189575195,-11.858794212341309,1.3865420818328857,0.4209304399490356,4587.567878007889,11000
232.36485290527344,0.27671512961387634,-7.503509044647217,0.03800017759203911,1.0,28.591707229614258,-32.353702545166016,756.568115234375,2.0854907035827637,6.0934553146362305,-19.350879669189453,-46.265647888183594,6.91861629486084,-19.065353393554688,-45.611629486083984,0.3849666714668274,3.6667428016662598,-12.413007736206055,0.3949384391307831,0.41857404613494875,5006.141978502274,12000
248.45106506347656,0.28116273880004883,-7.4499664306640625,0.024614712223410606,1.0,21.51247787475586,-18.8904972076416,726.298583984375,2.073643684387207,6.536384105682373,-20.798091888427734,-48.97372055053711,6.608823776245117,-20.451473236083984,-46.23907470703125,0.49492374062538147,4.185141563415527,-13.546188354492188,0.16159537434577942,0.4186040623188019,5424.746062278748,13000
255.9794921875,0.3058888912200928,-7.515920162200928,0.04110300913453102,1.0,10.17043685913086,-9.386530876159668,455.9555358886719,1.7084441184997559,6.862454414367676,-21.13414764404297,-52.720218658447266,8.075243949890137,-20.858293533325195,-51.92481994628906,0.42659714818000793,3.730180501937866,-14.024426460266113,0.15384432673454285,0.42113036108016966,5845.8764481544495,14000
247.87661743164062,0.2826910614967346,-7.480757236480713,0.03231213986873627,1.0,10.610101699829102,-11.531170845031738,539.5289916992188,1.8392447233200073,6.47421932220459,-21.01470947265625,-52.70735168457031,7.619300842285156,-20.67852783203125,-52.46900177001953,0.4040575921535492,3.5228939056396484,-13.138785362243652,0.9311960339546204,0.417786248922348,6263.662724971771,15000
269.7159423828125,0.2984839677810669,-7.440640449523926,0.02228318341076374,1.0,24.698734283447266,-23.67841148376465,751.5300903320312,2.0179967880249023,6.344451904296875,-21.66693878173828,-57.58351135253906,7.488753318786621,-21.312814712524414,-56.78622055053711,0.36335989832878113,3.766028881072998,-14.332931518554688,0.29617494344711304,0.4221904447078705,6685.853191137314,16000
272.20361328125,0.30332186818122864,-7.463055610656738,0.027887098491191864,1.0,9.576866149902344,-8.623610496520996,325.8179016113281,2.425473213195801,6.53801155090332,-23.066068649291992,-58.146728515625,6.67617654800415,-22.804590225219727,-58.26365661621094,0.6794819831848145,3.838926315307617,-15.255287170410156,0.14890699088573456,0.41970053434371946,7105.553753614426,17000
282.3750305175781,0.3012726604938507,-7.578973770141602,0.05686661973595619,1.0,17.560914993286133,-21.9500675201416,668.8590087890625,2.0726184844970703,7.9896135330200195,-23.171533584594727,-61.82228469848633,9.365472793579102,-22.841079711914062,-61.77392578125,0.5681480765342712,3.5031421184539795,-15.337606430053711,0.07302650809288025,0.42051559138298034,7526.069386959076,18000
298.9751892089844,0.3149116039276123,-7.5504584312438965,0.04973773658275604,1.0,20.415481567382812,-21.738195419311523,807.8594970703125,1.9069428443908691,7.55215311050415,-23.118946075439453,-66.13134002685547,9.450450897216797,-22.788894653320312,-66.68017578125,0.4952298104763031,3.958035945892334,-15.845039367675781,0.0970676988363266,0.42153367829322813,7947.603089570999,19000
309.21820068359375,0.34417423605918884,-7.477112293243408,0.03140078857541084,1.0,22.75135040283203,-21.86760711669922,765.5350341796875,2.1512019634246826,6.208676815032959,-22.90842056274414,-70.58394622802734,7.725273609161377,-22.575252532958984,-67.19356536865234,0.4053269028663635,4.215871334075928,-16.42560386657715,0.5355700850486755,0.41955305624008177,8367.156175613403,20000
325.6398010253906,0.34315648674964905,-7.442780494689941,0.022817937657237053,1.0,12.790888786315918,-16.206453323364258,563.6251220703125,1.88132643699646,6.206027030944824,-23.617412567138672,-68.14290618896484,7.32930850982666,-23.311687469482422,-68.12499237060547,0.3802337348461151,4.738231658935547,-16.49810791015625,0.2547307014465332,0.41979464030265806,8786.950853347778,21000
367.8421325683594,0.3664582371711731,-7.445987224578857,0.023619893938302994,1.0,27.956668853759766,-24.916305541992188,958.2236328125,1.862303376197815,6.748079776763916,-23.50324058532715,-73.10377502441406,9.05051326751709,-23.252452850341797,-74.58518981933594,0.41106513142585754,4.363038539886475,-16.714412689208984,0.09195710718631744,0.4201191892623901,9207.07009935379,22000
344.38250732421875,0.37533336877822876,-7.464416980743408,0.028227493166923523,1.0,25.57196044921875,-25.040847778320312,810.4696044921875,2.090461015701294,7.240816116333008,-24.301755905151367,-76.16044616699219,8.139400482177734,-23.968891143798828,-73.64579772949219,0.6068562865257263,5.119172096252441,-16.937721252441406,0.08842889964580536,0.42219362926483156,9629.263753652573,23000
346.7391662597656,0.36987000703811646,-7.452463150024414,0.025238623842597008,1.0,9.842623710632324,-9.468880653381348,661.2116088867188,2.535784959793091,9.46872615814209,-23.36224365234375,-79.71170806884766,11.116654396057129,-22.959932327270508,-78.21417999267578,0.7247433662414551,5.225828647613525,-17.528535842895508,0.971774697303772,0.4193637759685516,10048.627583503723,24000
343.2000427246094,0.3780328035354614,-7.451400279998779,0.024972958490252495,1.0,114.57535552978516,-110.15047454833984,1914.92626953125,4.778260707855225,6.654364585876465,-24.902950286865234,-76.47256469726562,6.5965447425842285,-24.748046875,-76.7176513671875,0.41636550426483154,3.7756407260894775,-19.4581298828125,0.0830797478556633,0.41975495171546934,10468.382575750351,25000
311.5644836425781,0.37859514355659485,-7.539738178253174,0.0470573715865612,1.0,39.9485969543457,-34.90162658691406,1131.1854248046875,38.90688705444336,12.94836711883545,-23.345386505126953,-78.07658386230469,13.039629936218262,-23.02985382080078,-77.85523223876953,10.428868293762207,5.138250827789307,-16.828514099121094,1.7907187938690186,0.42061991333961485,10889.002533912659,26000
339.6660461425781,0.3863801956176758,-7.4315185546875,0.020002614706754684,1.0,24.698890686035156,-18.752836227416992,769.698486328125,2.949553966522217,6.1169633865356445,-24.573408126831055,-81.50272369384766,7.471373558044434,-24.235370635986328,-82.65631103515625,0.5185284614562988,4.8080220222473145,-19.781211853027344,0.2041597217321396,0.4187886872291565,11307.791256666183,27000
345.23583984375,0.41479673981666565,-7.438362121582031,0.021713610738515854,1.0,25.77804946899414,-23.712751388549805,768.5147094726562,4.10564661026001,6.398148536682129,-24.685752868652344,-85.79041290283203,7.852586269378662,-24.40912628173828,-86.15801239013672,0.7657266855239868,4.718293190002441,-18.678752899169922,0.11227764934301376,0.41943948698043826,11727.230778217316,28000
321.5912780761719,0.3865850269794464,-7.4431281089782715,0.0229047778993845,1.0,45.05406951904297,-53.394622802734375,1099.4215087890625,8.499845504760742,9.977266311645508,-24.593732833862305,-85.63777923583984,10.33716106414795,-24.390979766845703,-85.8699951171875,0.4478601813316345,4.270962715148926,-18.396875381469727,0.15550172328948975,0.4197581305503845,12146.98894071579,29000
349.5488586425781,0.408488929271698,-7.449524402618408,0.0245041623711586,1.0,75.02088928222656,-66.74588775634766,1515.947998046875,4.14255952835083,7.327289581298828,-25.8958740234375,-97.27449798583984,8.595666885375977,-25.622997283935547,-96.501708984375,1.162459135055542,5.170435905456543,-19.602825164794922,0.11806735396385193,0.4213059821128845,12568.294947385788,30000
331.88916015625,0.3876126706600189,-7.4468865394592285,0.023844467476010323,1.0,26.926712036132812,-23.841718673706055,619.5947875976562,2.120438814163208,7.063924312591553,-25.911102294921875,-90.58460998535156,8.430156707763672,-25.705421447753906,-87.90694427490234,0.35350093245506287,4.90874719619751,-19.955684661865234,2.9113917350769043,0.4187853074073791,12987.080290317535,31000
337.22528076171875,0.39185136556625366,-7.434926509857178,0.02085459977388382,1.0,46.19279479980469,-47.33283233642578,1137.4173583984375,3.585691213607788,9.833206176757812,-27.4890193939209,-84.20343017578125,8.88553237915039,-27.15180206298828,-83.76012420654297,1.0085326433181763,4.968838691711426,-19.425853729248047,2.59735107421875,0.421518963098526,13408.599282741547,32000
353.73468017578125,0.38911131024360657,-7.452872276306152,0.02534102089703083,1.0,46.75653076171875,-40.34450149536133,1045.888427734375,7.272708892822266,8.901841163635254,-25.19739532470703,-92.6470947265625,10.124345779418945,-24.85806655883789,-92.3741455078125,1.9268393516540527,5.948020935058594,-18.899784088134766,0.540046751499176,0.4208922653198242,13829.491592168808,33000
364.9886779785156,0.4202482998371124,-7.439755916595459,0.02206197753548622,1.0,28.806854248046875,-27.730609893798828,944.000244140625,3.0422091484069824,7.348677158355713,-25.263338088989258,-86.40995025634766,9.629584312438965,-25.054534912109375,-86.01734161376953,0.5697062611579895,4.2181620597839355,-19.354368209838867,0.9533047080039978,0.4176912593841553,14247.182880163193,34000
